,char,charname,birthname,types,universes,birthplace,superpowers,religions,gender,occupation,memberof
124,http://www.wikidata.org/entity/Q2271377,JessicaJones,JessicaCampbellJones,"mutate, comics character",Marvel Universe,,"flight, superhuman durability, superhuman strength",,,,
125,http://www.wikidata.org/entity/Q10305119,JamieBraddock,JamesBraddockJr.,mutant,"Earth-616, Marvel Universe",,reality warping,,,,
126,http://www.wikidata.org/entity/Q2651308,Magik,ÐÐ»ÑÑÐ½Ð°ÐÐ¸ÐºÐ¾Ð»Ð°ÐµÐ²Ð½Ð°Ð Ð°ÑÐ¿ÑÑÐ¸Ð½Ð°,"superhero film character, mutant","Earth-616, Marvel Universe",,"teleportation, magic in fiction",,,,
127,http://www.wikidata.org/entity/Q734861,ValeriaRichards,ValeriaMeghanRichards,"fictional human, comics character","Earth-616, Marvel Universe",,"energy manipulation, teleportation, invisibility, force field, time travel",,,,
128,http://www.wikidata.org/entity/Q4010081,Vermin,EdwardWhelan,"mutate, comics character",Marvel Universe,,"superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman strength",,,,
129,http://www.wikidata.org/entity/Q302186,Beast,HenryPhilipMcCoy,"anime character, superhero film character, animated character, video game character, mutant","Earth-616, Marvel Universe",,"superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
130,http://www.wikidata.org/entity/Q3144206,Hyperstorm,JonathanReedRichards,mutant,Marvel Universe,,"magnetism manipulation, electrokinesis",,,,
131,http://www.wikidata.org/entity/Q48544198,UltimateGreenGoblin,NormanOsborn,"fictional human, mutate, comics character",Marvel Universe,,"superhuman durability, superhuman speed, immortality, superhuman strength, healing factor",,,,
132,http://www.wikidata.org/entity/Q2275950,Shatterstar,GaveedraSeven,"superhero film character, mutant","Mojoverse, Earth-616, Marvel Universe",,"superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength, healing factor",,,,
133,http://www.wikidata.org/entity/Q3453575,RustyCollins,RussellCollins,"superhero film character, animated character, mutant",Marvel Universe,,pyrokinesis,,,,
134,http://www.wikidata.org/entity/Q865017,MisterFantastic,ReedRichards,"film character, animated character, mutate","Earth-616, Marvel Universe",,elasticity,,,,
135,http://www.wikidata.org/entity/Q616633,BettyRoss,ElizabethRoss,"gamma mutate, superhero film character, harpy in a work of fiction, animated character, comics character",Marvel Universe,,"superhuman durability, superhuman speed, superhuman strength, healing factor",,,,
136,http://www.wikidata.org/entity/Q838088,Iceman,RobertLouisDrake,"superhero film character, animated character, mutant","Earth-616, Marvel Universe",,cryokinesis,,,,
